"need","1.0","0.0","9.0","VBP"
"suitabl","1.0","0.0","2.0","JJ"
"pluggabl","1.0","0.0","1.0","JJ"
"maintain","1.0","0.0","2.0","VBN"
"garbag","1.0","0.0","1.0","NN"
"etc.","1.0","0.0","3.0","NN"
"day-of-week","1.0","0.0","5.0","JJ"
"time","1.0","0.0","35.0","NN"
"internally","1.0","0.0","2.0","RB"
"refer","1.0","0.0","6.0","NN"
"thu","1.0","0.0","15.0","RB"
"durationfield","1.0","0.0","1.0","NN"
"accur","1.0","0.0","1.0","JJ"
"directly","1.0","0.0","4.0","RB"
"instant","1.0","0.0","18.0","JJ"
"key","1.0","0.0","3.0","JJ"
"datetim","1.0","0.0","51.0","NNP"
"demand","1.0","0.0","1.0","NN"
"follow","1.0","0.0","8.0","VBZ"
"effectively","1.0","0.0","1.0","RB"
"ignor","1.0","0.0","1.0","VBN"
"joda-tim","1.0","0.0","15.0","NNP"
"support","1.0","0.0","4.0","VBZ"
"form","1.0","0.0","2.0","VBP"
"singleton","1.0","0.0","2.0","NNS"
"calcul","1.0","0.0","8.0","NNS"
"recognis","1.0","0.0","1.0","JJ"
"codeid","1.0","0.0","37.0","NN"
"class","1.0","0.0","29.0","NNS"
"befor","1.0","0.0","1.0","IN"
"absolut","1.0","0.0","3.0","JJ"
"code","1.0","0.0","4.0","NN"
"period","1.0","0.0","18.0","NN"
"like","1.0","0.0","3.0","IN"
"togeth","1.0","0.0","1.0","RB"
"cost","1.0","0.0","2.0","NNS"
"coptic","1.0","0.0","1.0","JJ"
"instanc","1.0","0.0","5.0","NN"
"isochronology","1.0","0.0","1.0","NN"
"obtain","1.0","0.0","7.0","VB"
"earlier","1.0","0.0","2.0","JJR"
"default","1.0","0.0","4.0","NN"
"simply","1.0","0.0","1.0","RB"
"subclass","1.0","0.0","2.0","NNS"
"split","1.0","0.0","2.0","VBN"
"creation","1.0","0.0","1.0","NN"
"complex","1.0","0.0","2.0","JJ"
"territory","1.0","0.0","1.0","NN"
"ceas","1.0","0.0","1.0","VBD"
"datetimefield","1.0","0.0","2.0","NN"
"engin","1.0","0.0","1.0","NN"
"object","1.0","0.0","28.0","NN"
"date","1.0","0.0","15.0","NN"
"applic","1.0","0.0","2.0","NNS"
"collector","1.0","0.0","1.0","NN"
"chronology","1.0","0.0","16.0","NNP"
"setup","1.0","0.0","1.0","NN"
"rule","1.0","0.0","1.0","NNS"
"api","1.0","0.0","10.0","NNP"
"julian","1.0","0.0","1.0","NNP"
"initi","1.0","0.0","4.0","NN"
"calendar","1.0","0.0","20.0","NN"
"whenev","1.0","0.0","1.0","WRB"
"ar","1.0","0.0","28.0","VBP"
"bulk","1.0","0.0","2.0","NN"
"thi","1.0","0.0","30.0","DT"
"main","1.0","0.0","4.0","JJ"
"interv","1.0","0.0","11.0","NNP"
"field","1.0","0.0","42.0","NNS"
"specif","1.0","0.0","3.0","JJ"
"octob","1.0","0.0","1.0","NNP"
"base","1.0","0.0","5.0","VBN"
"encapsul","1.0","0.0","1.0","VBZ"
"library","1.0","0.0","3.0","NN"
"instead","1.0","0.0","2.0","RB"
"actual","1.0","0.0","2.0","JJ"
"chang","1.0","0.0","18.0","VB"
"user","1.0","0.0","3.0","NNS"
"illustr","1.0","0.0","1.0","VBD"
"design","1.0","0.0","2.0","NN"
