"iceberg","0.0","1.0","1.0","NN"
"need","0.0","2.0","7.0","VBP"
"limited","0.0","1.0","1.0","JJ"
"using","3.0","3.0","13.0","VBG"
"passed","2.0","1.0","3.0","VBN"
"user-code","0.0","1.0","1.0","NN"
"French","0.0","1.0","2.0","NNP"
"particular","1.0","2.0","4.0","JJ"
"supports","0.0","1.0","1.0","VBZ"
"Property","0.0","3.0","3.0","NN"
"etc.","0.0","1.0","3.0","NN"
"creates","1.0","0.0","2.0","VBZ"
"garbage","0.0","1.0","1.0","NN"
"showed","0.0","1.0","1.0","VBD"
"day-of-week","1.0","2.0","5.0","JJ"
"ceased","0.0","1.0","1.0","VBD"
"time","5.0","1.0","31.0","NN"
"immtable","1.0","0.0","1.0","JJ"
"ReadableInstant","1.0","0.0","3.0","JJ"
"semantics","1.0","0.0","1.0","NNS"
"refer","0.0","1.0","1.0","VB"
"ISO8601","2.0","1.0","4.0","NN"
"threads","1.0","0.0","1.0","NNS"
"created","2.0","0.0","3.0","VBN"
"monthOfYear","0.0","1.0","1.0","NN"
"advanced","0.0","1.0","1.0","JJ"
"year","0.0","1.0","6.0","NN"
"objects","2.0","1.0","7.0","NNS"
"instant","2.0","2.0","13.0","JJ"
"copy","1.0","0.0","3.0","NN"
"October","0.0","1.0","1.0","NNP"
"continuum","1.0","0.0","2.0","NN"
"patterns","0.0","1.0","2.0","NNS"
"defined","1.0","0.0","3.0","VBN"
"engine","0.0","1.0","1.0","NN"
"Knowing","0.0","1.0","1.0","VBG"
"converting","0.0","1.0","2.0","VBG"
"iDoW","0.0","1.0","1.0","NNP"
"number","1.0","0.0","5.0","NN"
"suggest","0.0","1.0","1.0","VB"
"subclasses","0.0","1.0","2.0","NNS"
"available","1.0","2.0","4.0","JJ"
"DurationField","0.0","1.0","1.0","NN"
"extract","0.0","1.0","1.0","VB"
"initialization","1.0","0.0","2.0","NN"
"simply","0.0","1.0","1.0","RB"
"discuss","1.0","0.0","1.0","VBP"
"binding","0.0","1.0","1.0","NN"
"split","0.0","1.0","2.0","VBN"
"behave","0.0","1.0","1.0","VBP"
"introduction","0.0","1.0","1.0","NN"
"Period","0.0","2.0","4.0","NN"
"dt","1.0","2.0","3.0","NN"
"complex","1.0","1.0","2.0","JJ"
"accomplishing","0.0","1.0","1.0","VBG"
"territory","0.0","1.0","1.0","NN"
"Interval","0.0","2.0","4.0","NNP"
"durations","1.0","0.0","2.0","NNS"
"common","3.0","1.0","4.0","JJ"
"simple","2.0","0.0","6.0","JJ"
"Europe\/London","1.0","0.0","2.0","NNP"
"use","2.0","4.0","14.0","NN"
"date","3.0","0.0","8.0","NN"
"interested","0.0","1.0","1.0","JJ"
"scenarios","0.0","1.0","1.0","NNS"
"resulting","1.0","0.0","1.0","VBG"
"absolute","1.0","1.0","3.0","JJ"
"dd","0.0","1.0","1.0","NN"
"Internally","0.0","1.0","1.0","RB"
"document","0.0","2.0","2.0","NN"
"Introduction","0.0","1.0","1.0","NN"
"Formatters","0.0","1.0","5.0","NNP"
"converter","0.0","1.0","1.0","NN"
"current","2.0","0.0","8.0","JJ"
"write","1.0","1.0","3.0","VB"
"immutable","2.0","0.0","5.0","JJ"
"encapsulates","0.0","1.0","1.0","VBZ"
