"DateTimeField","0.0","1.0","2.0","NN"
"DateTimes","0.0","1.0","2.0","NNS"
"particular","0.0","1.0","4.0","JJ"
"way","0.0","1.0","4.0","NN"
"calling","0.0","1.0","6.0","VBG"
"Property","0.0","1.0","3.0","NN"
"DateTimeConstants","0.0","1.0","1.0","NNS"
"calculation","0.0","1.0","3.0","NN"
"API","0.0","1.0","9.0","NNP"
"values","0.0","1.0","4.0","NNS"
"DateTime","0.0","1.0","31.0","NNP"
"instance","0.0","1.0","5.0","NN"
"instant","0.0","1.0","13.0","JJ"
"fields","0.0","1.0","21.0","NNS"
"calendar","0.0","1.0","15.0","NN"
"Querying","0.0","1.0","1.0","VBG"
"direct","0.0","1.0","2.0","JJ"
"involves","0.0","1.0","2.0","VBZ"
"connection","0.0","1.0","1.0","NN"
"CODEID","0.0","1.0","37.0","NN"
"makes","0.0","1.0","1.0","VBZ"
"separation","0.0","1.0","1.0","NN"
"class","0.0","1.0","21.0","NN"
"provides","0.0","1.0","6.0","VBZ"
"iDoW","0.0","1.0","1.0","NNP"
"property","0.0","1.0","11.0","NN"
"flexible","0.0","1.0","1.0","JJ"
"access","0.0","1.0","6.0","NN"
"powerful","0.0","1.0","1.0","JJ"
"field","0.0","1.0","20.0","NN"
"representation","0.0","1.0","1.0","NN"
"method","0.0","1.0","21.0","NN"
"day","0.0","1.0","5.0","NN"
"maintained","0.0","1.0","2.0","VBN"
"week","0.0","1.0","2.0","NN"
