"accept","dobj","clt",0,1,0,0.69
"adapt","prep_from","clt",0,1,0,0.69
"add","dobj","clt",0.67,0.33,1.19,0.6
"add","dobj_MD","clt",0,1,0,1.79
"add","prep_to","clt",1,0,2.2,0
"affect","nsubjpass","clt",1,0,0.69,0
"allow","nsubj","clt",1,0,1.39,0
"appear","prep_as_MD","clt",0,1,0,0.69
"argument","prep_as","clt",0,1,0,0.69
"associate","prep_with","clt",1,0,1.79,0
"attribute","prep_of","clt",1,0,1.95,0
"available","prep_on","clt",0,1,0,0.69
"be","prep_in","clt",1,0,2.56,0
"be","prep_of_TO","clt",1,0,0.69,0
"be","prep_of_TO_TO","clt",1,0,0.69,0
"beginning","prep_of","clt",0,1,0,0.69
"belong","nsubj","clt",0,1,0,0.69
"body","prep_of","clt",1,0,0.69,0
"call","dobj","clt",0.47,0.53,1.33,1.5
"call","dobj_MD","clt",1,0,1.61,0
"call","nsubjpass_MD","clt",1,0,0.69,0
"cast","prep_to","clt",0,1,0,0.69
"catch","dobj_MD","clt",0,1,0,0.69
"cause","nsubj","clt",1,0,0.69,0
"change","dobj","clt",1,0,0.69,0
"change","prep_to","clt",1,0,0.69,0
"check","dobj_TO","clt",0,1,0,0.69
"child","nsubj","clt",0,1,0,0.69
"child","prep_of","clt",0,1,0,0.69
"class","prep_in","clt",1,0,2.08,0
"clt","amod","use",1,0,1.1,0
"clt","conj_and","clt",0.17,0.83,0.98,4.72
"clt","conj_or","clt",0,1,0,4.09
"clt","cop","be",1,0,4.17,0
"clt","infmod","copy",1,0,0.69,0
"clt","infmod","delete",1,0,0.69,0
"clt","infmod","move",1,0,0.69,0
"clt","infmod_TO","check",1,0,0.69,0
"clt","infmod_TO","find",1,0,0.69,0
"clt","infmod_TO","ignore",1,0,0.69,0
"clt","nsubj","document",1,0,0.69,0
"clt","nsubj","element",1,0,0.69,0
"clt","nsubj","example",0,1,0,0.69
"clt","nsubj","operation",1,0,1.1,0
"clt","nsubj","set",0.5,0.5,0.35,0.35
"clt","nsubj","value",0,1,0,1.1
"clt","prep_because","clt",0,1,0,0.69
"clt","prep_for","example",0,1,0,1.1
"clt","rcmod","add",1,0,0.69,0
"clt","rcmod","be",1,0,1.1,0
"clt","rcmod","contain",1,0,1.1,0
"clt","rcmod","create",1,0,1.1,0
"clt","rcmod","implement",1,0,0.69,0
"clt","rcmod","operate",1,0,0.69,0
"clt","rcmod","use",1,0,1.39,0
"clt","rcmod_MD","use",1,0,0.69,0
"clt-Naminglistenerinterfaces","prep_such_as","clt",0,1,0,0.69
"code","prep_for","clt",1,0,1.1,0
"compile","nsubjpass","clt",1,0,1.39,0
"configure","dobj","clt",1,0,0.69,0
"consider","dobj","clt",0.67,0.33,0.73,0.37
"consist","prep_of","clt",0,1,0,1.39
"construct","dobj_TO","clt",0.5,0.5,0.35,0.35
"constructor","prep_in","clt",1,0,0.69,0
"contain","dobj","clt",0,1,0,3
"contain","dobj_MD","clt",0,1,0,1.39
"contain","nsubj","clt",1,0,2.71,0
