"governor","relation","dependent","positive","negative"
"class","nn","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"class","nn","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"class","nn","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"class","nn","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"clt","nsubj","implementation",TRUE,FALSE
"clt","cop","be",TRUE,FALSE
"clt","nsubj","class",TRUE,FALSE
"provide","prep_on","clt",TRUE,FALSE
"clt","rcmod","act",TRUE,FALSE
"class","prep_to","clt",TRUE,FALSE
"use","dobj","clt",TRUE,FALSE
"represent","agent","clt",FALSE,TRUE
"implementation","prep_of","clt",FALSE,TRUE
"clt","nsubj","class",TRUE,FALSE
"clt","cop","be",TRUE,FALSE
"include","dobj","clt",TRUE,FALSE
"clt","conj_and","clt",TRUE,FALSE
"include","dobj","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"apus","prep_of","clt",FALSE,TRUE
"call","dobj","clt",FALSE,TRUE
"associate","prep_with","clt",FALSE,TRUE
"return","agent","clt",FALSE,TRUE
"return","agent","clt",FALSE,TRUE
"clt","nsubj","class",TRUE,FALSE
"clt","cop","be",TRUE,FALSE
"clt","nn","clt",TRUE,FALSE
"clt","prep_in","joda-time",TRUE,FALSE
"represent","nsubj","clt",TRUE,FALSE
"provide","dobj","clt",TRUE,FALSE
"clt","conj_and","clt",TRUE,FALSE
"clt","rcmod","specialization",TRUE,FALSE
"provide","dobj","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"specialization","prep_of","clt",FALSE,TRUE
"clt","nn","clt",TRUE,FALSE
"clt","prep_in","joda-time",TRUE,FALSE
"represent","nsubj","clt",TRUE,FALSE
"implementation","dep","clt",TRUE,FALSE
"implementation","prep_of","clt",FALSE,TRUE
"clt","nn","clt",TRUE,FALSE
"clt","prep_in","joda-time",TRUE,FALSE
"represent","nsubj","clt",TRUE,FALSE
"implementation","prep_of","clt",TRUE,FALSE
"interface","conj_and","clt",TRUE,FALSE
"allow","nsubj","clt",TRUE,FALSE
"interface","nn","clt",FALSE,TRUE
"implementation","prep_of","clt",FALSE,TRUE
"interface","conj_and","clt",FALSE,TRUE
"clt","nn","clt",FALSE,TRUE
"clt","dep","clt",FALSE,TRUE
"class","dep","clt",FALSE,TRUE
"clt","nn","clt",FALSE,TRUE
"clt","dep","clt",FALSE,TRUE
"clt","dep","etc.",FALSE,TRUE
"clt","dep","design",TRUE,FALSE
"base","nsubjpass","clt",TRUE,FALSE
"split","prep_between","clt",TRUE,FALSE
"clt","dep","clt",TRUE,FALSE
"clt","dep","clt",TRUE,FALSE
"clt","conj_and","class",TRUE,FALSE
"clt","dep","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"default","prep_to_MD","clt",TRUE,FALSE
"clt","dep","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"clt","nsubj","important",FALSE,TRUE
"clt","cop","be",FALSE,TRUE
"clt","rcmod","have",FALSE,TRUE
"include","dobj","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"include","dobj","clt",FALSE,TRUE
"clt","conj_and","clt",FALSE,TRUE
"use","dobj","clt",TRUE,FALSE
"provide","nsubj","clt",TRUE,FALSE
"have","nsubj","clt",TRUE,FALSE
"provide","agent","clt",TRUE,FALSE
"clt","rcmod","return",TRUE,FALSE
"inter-conversion","prep_between","clt",TRUE,FALSE
"separation","appos","clt",FALSE,TRUE
"get","prep_for_TO","clt",FALSE,TRUE
"property","appos","clt",FALSE,TRUE
"field","appos","clt",FALSE,TRUE
"from","pobj","clt",FALSE,TRUE
"documentation","prep_for","clt",FALSE,TRUE
"provide","nsubj","clt",FALSE,TRUE
"return","dobj","clt",TRUE,FALSE
"clt","amod","bind",TRUE,FALSE
"method","prep_such_as","clt",FALSE,TRUE
"clt","conj_or","clt",FALSE,TRUE
"method","prep_such_as","clt",FALSE,TRUE
"clt","conj_or","clt",FALSE,TRUE
"represent","agent","clt",TRUE,FALSE
"have","nsubj","clt",TRUE,FALSE
"modify","nsubjpass_MD_neg","clt",TRUE,FALSE
"set","nsubjpass","clt",TRUE,FALSE
"clt","prep_of","codeid0",TRUE,FALSE
"use","dobj","clt",TRUE,FALSE
"use","dobj_MD","clt",TRUE,FALSE
"clt","rcmod","be",FALSE,TRUE
"use","prep_on_TO","clt",FALSE,TRUE
"object","nsubj","clt",FALSE,TRUE
"use","dobj","clt",TRUE,FALSE
"have","nsubj","clt",TRUE,FALSE
"come","nsubj","clt",TRUE,FALSE
"call","dobj","clt",TRUE,FALSE
"change","dobj","clt",FALSE,TRUE
"have","nsubj","clt",TRUE,FALSE
"factorymethod","nsubj","clt",TRUE,FALSE
"return","nsubjpass","clt",FALSE,TRUE
"provide","agent","clt",TRUE,FALSE
"call","dobj","clt",TRUE,FALSE
"alter","agent_neg","clt",TRUE,FALSE
"by","pobj","clt",TRUE,FALSE
"create","nsubj","clt",TRUE,FALSE
"take","nsubj","clt",TRUE,FALSE
"class","prep_such_as","clt",FALSE,TRUE
"indirect","prep_via","clt",TRUE,FALSE
"convert","prep_to_MD","clt",FALSE,TRUE
"see","dobj","clt",TRUE,FALSE
