"dependant","pprob","nprob","pcprob","ncprob"
"1","add",1,0,0.693147180559945,0
"2","be",1,0,1.09861228866811,0
"3","check",1,0,0.693147180559945,0
"4","clt",0.609668755595345,0.390331244404655,4.27890029110665,2.73950150796255
"5","contain",1,0,1.09861228866811,0
"6","copy",1,0,0.693147180559945,0
"7","create",1,0,1.09861228866811,0
"8","delete",1,0,0.693147180559945,0
"9","document",1,0,0.693147180559945,0
"10","element",1,0,0.693147180559945,0
"11","example",0,1,0,1.6094379124341
"12","find",1,0,0.693147180559945,0
"13","ignore",1,0,0.693147180559945,0
"14","implement",1,0,0.693147180559945,0
"15","move",1,0,0.693147180559945,0
"16","operate",1,0,0.693147180559945,0
"17","operation",1,0,1.09861228866811,0
"18","set",0.5,0.5,0.346573590279973,0.346573590279973
"19","use",1,0,2.19722457733622,0
"20","value",0,1,0,1.09861228866811
