"agent",0.32,0.68,1.11,2.33
"agent_MD",1,0,0.69,0
"amod",1,0,1.1,0
"dobj",0.51,0.49,2.99,2.82
"dobj_MD",0.59,0.41,2.48,1.74
"dobj_MD_neg",0,1,0,1.61
"dobj_TO",0.66,0.34,2.54,1.31
"dobj_VBZ_neg",0,1,0,1.1
"infmod",1,0,1.79,0
"infmod_TO",1,0,1.79,0
"nsubj",0.86,0.14,4.72,0.76
"nsubj_MD",0.82,0.18,1.96,0.44
"nsubj_VBZ",1,0,0.69,0
"nsubjpass",0.8,0.2,3.05,0.76
"nsubjpass_MD",0.58,0.42,1.45,1.04
"prep_as",0,1,0,1.39
"prep_as_MD",0,1,0,0.69
"prep_as_TO",0,1,0,0.69
"prep_because",0,1,0,0.69
"prep_by",1,0,0.69,0
"prep_for",0.64,0.36,1.7,0.94
"prep_from",0,1,0,1.79
"prep_in",0.49,0.51,1.93,2
"prep_into_MD",1,0,0.69,0
"prep_like",0,1,0,0.69
"prep_of",0.69,0.31,3.38,1.53
"prep_of_TO",1,0,0.69,0
"prep_of_TO_TO",1,0,0.69,0
"prep_on",0,1,0,2.48
"prep_such_as",0,1,0,3.04
"prep_through",0,1,0,0.69
"prep_to",0.62,0.38,2.37,1.44
"prep_to_MD",0,1,0,0.69
"prep_to_TO",0.29,0.71,0.56,1.39
"prep_with",0.5,0.5,1.45,1.45
"prep_with_MD",0,1,0,0.69
"rcmod",1,0,2.94,0
"rcmod_MD",1,0,0.69,0
