"governor","relation","dependant","positive","negative","functional","structural","descriptive","instructions","interCLT","other"
"create","agent","clt",1,0,0,0,0,0,1,0
"create","agent","clt",1,0,0,0,0,0,1,0
"create","agent","clt",1,0,0,0,0,0,1,0
"define","agent","clt",0,1,0,0,0,0,1,0
"define","agent","clt",0,1,0,0,0,0,1,0
"define","agent","clt",0,1,0,0,0,0,1,0
"determine","agent","clt",0,1,0,0,0,0,1,0
"determine","agent","clt",0,1,0,0,0,0,1,0
"generate","agent","clt",0,1,0,0,0,0,1,0
"generate","agent","clt",0,1,0,0,0,0,1,0
"provide","agent","clt",0,1,0,0,0,0,1,0
"provide","agent","clt",0,1,0,0,0,0,1,0
"represent","agent","clt",1,0,0,0,1,0,0,0
"represent","agent","clt",1,0,0,0,1,0,0,0
"represent","agent","clt",1,0,0,0,1,0,0,0
"return","agent","clt",0,1,1,0,0,0,0,0
"return","agent","clt",0,1,1,0,0,0,0,0
"return","agent","clt",0,1,1,0,0,0,0,0
"return","agent","clt",0,1,1,0,0,0,0,0
"return","agent","clt",0,1,1,0,0,0,0,0
"share","agent","clt",0,1,0,1,0,0,0,0
"share","agent","clt",0,1,0,1,0,0,0,0
"share","agent","clt",0,1,0,1,0,0,0,0
"specify","agent","clt",0,1,0,0,1,0,0,0
"specify","agent","clt",0,1,0,0,1,0,0,0
"specify","agent","clt",1,0,0,0,1,0,0,0
"specify","agent","clt",0,1,0,0,1,0,0,0
"specify","agent","clt",0,1,0,0,1,0,0,0
"use","agent","clt",1,0,0,0,1,0,0,0
"use","agent","clt",1,0,0,0,1,0,0,0
"use","agent","clt",1,0,0,0,1,0,0,0
"reference","agent_MD","clt",1,0,0,0,1,0,0,0
"reference","agent_MD","clt",1,0,0,0,1,0,0,0
"clt","amod","use",1,0,0,0,0,1,0,0
"clt","amod","use",1,0,0,0,0,1,0,0
"clt","amod","use",1,0,0,0,0,1,0,0
"accept","dobj","clt",0,1,0,0,0,0,1,0
"accept","dobj","clt",0,1,0,0,0,0,1,0
"add","dobj","clt",1,0,0,0,1,0,0,0
"add","dobj","clt",0,1,0,0,0,0,1,0
"add","dobj","clt",1,0,0,0,0,1,0,0
"add","dobj","clt",1,0,0,0,0,1,0,0
