,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","Collection","java.util.Collection","class",FALSE
,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","Set","java.util.Set","class",FALSE
,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","SortedSet","java.util.SortedSet","class",FALSE
,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","Deque","java.util.Deque","class",FALSE
,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","Map","java.util.Map","class",FALSE
,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","Hashtable","java.util.Hashtable","class",FALSE
,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","SortedMap","java.util.SortedMap","class",FALSE
,"Summary of Interfaces","Summary of Interfaces","<div id=""PageTitle""> 
 <h1>Summary of Interfaces</h1> 
</div> 
<p>The core collection interfaces are the foundation of the Java Collections Framework.</p> 
<p>The Java Collections Framework hierarchy consists of two distinct interface trees:</p> 
<ul> 
 <li>The first tree starts with the <code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code> interface, which provides for the basic functionality used by all collections, such as <code>add</code> and <code>remove</code> methods. Its subinterfaces ? <code> 
   <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
     Set 
   </clt></code>, <code>List</code>, and <code>Queue</code> ? provide for more specialized collections.</li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface does not allow duplicate elements. This can be useful for storing collections such as a deck of cards or student records. The <code> 
    <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
      Set 
    </clt></code> interface has a subinterface, <code> 
    <clt fqn=""java.util.SortedSet"" api=""SortedSet"" kind=""class"">
      SortedSet 
    </clt></code>, that provides for ordering of elements in the set.</p></li> 
 <li><p>The <code>List</code> interface provides for an ordered collection, for situations in which you need precise control over where each element is inserted. You can retrieve elements from a <code>List</code> by their exact position.</p></li> 
 <li><p>The <code>Queue</code> interface enables additional insertion, extraction, and inspection operations. Elements in a <code>Queue</code> are typically ordered in on a FIFO basis.</p></li> 
 <li><p>The <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> interface enables insertion, deletion, and inspection operations at both the ends. Elements in a <code> 
    <clt fqn=""java.util.Deque"" api=""Deque"" kind=""class"">
      Deque 
    </clt></code> can be used in both LIFO and FIFO.</p></li> 
 <li><p>The second tree starts with the <code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code> interface, which maps keys and values similar to a <code> 
    <clt fqn=""java.util.Hashtable"" api=""Hashtable"" kind=""class"">
      Hashtable 
    </clt></code>.</p></li> 
 <li><p><code> 
    <clt fqn=""java.util.Map"" api=""Map"" kind=""class"">
      Map 
    </clt></code>'s subinterface, <code> 
    <clt fqn=""java.util.SortedMap"" api=""SortedMap"" kind=""class"">
      SortedMap 
    </clt></code>, maintains its key-value pairs in ascending order or in an order specified by a <code> 
    <clt fqn=""java.util.Comparator"" api=""Comparator"" kind=""class"">
      Comparator 
    </clt></code>.</p> </li> 
</ul>","Comparator","java.util.Comparator","class",FALSE
,"The 
<clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
  Collection 
</clt>Interface","The Collection Interface","<div id=""PageTitle""> 
 <h1>The 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt>Interface</h1> 
</div> 
<p>A <a class=""APILink"" target=""_blank"" href=""http://docs.oracle.com/javase/7/docs/api/java/util/Collection.html""><code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code></a> represents a group of objects known as its elements. The <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code> interface is used to pass around collections of objects where maximum generality is desired. For example, by convention all general-purpose collection implementations have a constructor that takes a <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code> argument. This constructor, known as a <i>conversion constructor</i>, initializes the new collection to contain all of the elements in the specified collection, whatever the given collection's subinterface or implementation type. In other words, it allows you to <i>convert</i> the collection's type.</p> 
<p>Suppose, for example, that you have a <code>Collection&lt;String&gt; c</code>, which may be a <code>List</code>, a <code> 
  <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
    Set 
  </clt></code>, or another kind of <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code>. This idiom creates a new <code> 
  <clt fqn=""java.util.ArrayList"" api=""ArrayList"" kind=""class"">
    ArrayList 
  </clt></code> (an implementation of the <code>List</code> interface), initially containing all the elements in <code>c</code>.</p> 
<p>The following shows the <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code> interface.</p>","Collection","java.util.Collection","class",FALSE
,"The 
<clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
  Collection 
</clt>Interface","The Collection Interface","<div id=""PageTitle""> 
 <h1>The 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt>Interface</h1> 
</div> 
<p>A <a class=""APILink"" target=""_blank"" href=""http://docs.oracle.com/javase/7/docs/api/java/util/Collection.html""><code> 
   <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
     Collection 
   </clt></code></a> represents a group of objects known as its elements. The <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code> interface is used to pass around collections of objects where maximum generality is desired. For example, by convention all general-purpose collection implementations have a constructor that takes a <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code> argument. This constructor, known as a <i>conversion constructor</i>, initializes the new collection to contain all of the elements in the specified collection, whatever the given collection's subinterface or implementation type. In other words, it allows you to <i>convert</i> the collection's type.</p> 
<p>Suppose, for example, that you have a <code>Collection&lt;String&gt; c</code>, which may be a <code>List</code>, a <code> 
  <clt fqn=""java.util.Set"" api=""Set"" kind=""class"">
    Set 
  </clt></code>, or another kind of <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code>. This idiom creates a new <code> 
  <clt fqn=""java.util.ArrayList"" api=""ArrayList"" kind=""class"">
    ArrayList 
  </clt></code> (an implementation of the <code>List</code> interface), initially containing all the elements in <code>c</code>.</p> 
<p>The following shows the <code> 
  <clt fqn=""java.util.Collection"" api=""Collection"" kind=""class"">
    Collection 
  </clt></code> interface.</p>","Set","java.util.Set","class",FALSE
