id;code_reference_id;code_element_id;index;rationale;linker_name;release_link_set_id;first_link_id;id;url;file_path;xpath;index_from;index_to;project_id;project_release_id;content;source;original_kind_hint_id;kind_hint_id;snippet_id;declaration;index;sentence;paragraph;parent_reference_id;child_index;title_content_type_id;title_object_id;local_content_type_id;local_object_id;mid_content_type_id;mid_object_id;global_content_type_id;global_object_id;resource_content_type_id;resource_object_id;id;codebase_id;simple_name;fqn;kind_id;deprecated;abstract;eclipse_handle;attcontainer_id;index;parser;id;kind;is_type;is_file;is_attribute;is_value
409;59;12337;1;"";javageneric;375;;59;;math/doc/manual3.1/math/userguide/fraction.html;/html/body/div[4]/div/div/div[3]/p[3]/tt[2];0;0;8;2;parse;d;30;30;;f;68;To parse a fraction from a string,;"Formatting's inverse operation, parsing, can also be performed by
          FractionFormat.  To parse a fraction from a string,
          simply call the parse method:";;0;;;27;13;27;1;26;2;25;7;12337;2;parse;org.apache.commons.math3.fraction.FractionFormat.parse;5;f;f;"=mathmain3.1/src<org.apache.commons.math3.fraction{FractionFormat.java[FractionFormat~parse~QString;~QParsePosition;";;0;java;30;unknown;f;f;f;f
321;77;20361;0;"";javamethod;298;298;77;;math/doc/manual3.1/math/userguide/random.html;/html/body/div[4]/div/div/div[2]/dl/dd[3]/tt[3];0;0;8;2;reSeed();d;5;5;;f;72;call to a data generation method, or to a  reSeed() method;"By default, the implementation provided in RandomDataImpl
    uses the JDK-provided PRNG.  Like most other PRNGs, the JDK generator
    generates sequences of random numbers based on an initial ""seed value"".
    For the non-secure methods, starting with the same seed always produces the
    same sequence of values.  Secure sequences started with the same seeds will
    diverge. When a new RandomDataImpl is created, the underlying
    random number generators are not initialized.  The first
    call to a data generation method, or to a  reSeed() method
    initializes the appropriate generator.  If you do not explicitly seed the
    generator, it is by default seeded with the current time in milliseconds.
    Therefore, to generate sequences of random data values, you should always
    instantiate one  RandomDataImpl and use it
    repeatedly instead of creating new instances for subsequent values in the
    sequence.  For example, the following will generate a random sequence of 50
    long integers between 1 and 1,000,000, using the current time in
    milliseconds as the seed for the JDK PRNG:
    
RandomData randomData = new RandomDataImpl(); 
for (int i = 0; i < 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will not in general produce a good random sequence, since the
    PRNG is reseeded each time through the loop with the current time in
    milliseconds:
    
for (int i = 0; i < 1000; i++) {
    RandomDataImpl randomData = new RandomDataImpl(); 
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce the same random sequence each time it is
    executed:
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeed(1000);
for (int i = 0; i = 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce a different random sequence each time it is
     executed. 
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeedSecure(1000);
for (int i = 0; i < 1000; i++) {
    value = randomData.nextSecureLong(1, 1000000);
}";;0;;;27;15;27;2;26;4;25;7;20361;2;reSeed;org.apache.commons.math3.random.RandomDataImpl.reSeed;5;f;f;=mathmain3.1/src<org.apache.commons.math3.random{RandomDataImpl.java[RandomDataImpl~reSeed;;0;java;5;method;f;f;f;f
417;166;12107;0;"";javageneric;383;383;166;;math/doc/manual3.1/math/userguide/optimization.html;/html/body/div[4]/div/div/div[6]/p[2]/tt;0;0;8;2;fit;d;30;30;;f;108;For all provided curve fitters, the operating principle is the same.;"For all provided curve fitters, the operating principle is the same. Users must first
          create an instance of the fitter, then add the observed points and once the complete
          sample of observed points has been added they must call the fit method
          which will compute the parameters that best fit the sample. A weight is associated
          with each observed point, this allows to take into account uncertainty on some points
          when they come from loosy measurements for example. If no such information exist and
          all points should be treated the same, it is safe to put 1.0 as the weight for all points.";;0;;;27;25;27;3;26;1;25;7;12107;2;fit;org.apache.commons.math3.fitting.CurveFitter.fit;5;f;f;"=mathmain3.1/src<org.apache.commons.math3.fitting{CurveFitter.java[CurveFitter~fit~QT;~\[D";;0;java;30;unknown;f;f;f;f
359;192;19943;1;"";javamethod;331;;192;;math/doc/manual3.1/math/userguide/random.html;/html/body/div[4]/div/div/div[6]/dl/dd[2]/tt[4];0;0;8;2;computeDistribution();d;5;5;;f;125;computeDistribution() opens and closes the input file;"When used in Digest Mode, the ValueServer reads the entire input file
      and estimates a probability density function based on data from the file.
      The estimation method is essentially the 
      
      Variable Kernel Method with Gaussian smoothing.  Once the density
      has been estimated, getNext() returns random values whose
      probability distribution matches the empirical distribution -- i.e., if
      you generate a large number of such values, their distribution should
      ""look like"" the distribution of the values in the input file.  The values
      are not stored in memory in this case either, so there is no limit to the
      size of the input file.  Here is an example:
      
      ValueServer vs = new ValueServer();
      vs.setValuesFileURL(url); 
      vs.setMode(ValueServer.DIGEST_MODE);
      vs.computeDistribution(500); //Read file and estimate distribution using 500 bins
      double value = vs.getNext();
      // ...Generate and use more values...
      
      See the javadoc for ValueServer and 
      EmpiricalDistribution for more details.  Note that 
      computeDistribution() opens and closes the input file
       by itself.";;0;;;27;26;27;2;26;4;25;7;19943;2;computeDistribution;org.apache.commons.math3.random.ValueServer.computeDistribution;5;f;f;=mathmain3.1/src<org.apache.commons.math3.random{ValueServer.java[ValueServer~computeDistribution~I;;0;java;5;method;f;f;f;f
361;202;19749;1;"";javamethod;332;;202;;math/doc/manual3.1/math/userguide/random.html;/html/body/div[4]/div/div/div[7]/p[1]/tt[3];0;0;8;2;nextDouble();d;5;5;;f;131;methods based on the primitive,  nextDouble().;"To enable alternative PRNGs to be ""plugged in"" to the commons-math data
      generation utilities and to provide a generic means to replace 
      java.util.Random in applications, a random generator 
      adaptor framework has been added to commons-math.  The
      
      RandomGenerator interface abstracts the public interface of
      java.util.Random and any implementation of this
      interface can be used as the source of random data for the commons-math 
      data generation classes.  An abstract base class, 
      
      AbstractRandomGenerator is provided to make implementation easier.
      This class provides default implementations of ""derived"" data generation
      methods based on the primitive,  nextDouble().
      To support generic replacement of java.util.Random, the 
      
      RandomAdaptor class is provided, which extends
      java.util.Random and wraps and delegates calls to
      a RandomGenerator instance.";;0;;;27;28;27;2;26;4;25;7;19749;2;nextDouble;org.apache.commons.math3.random.AbstractRandomGenerator.nextDouble;5;f;t;=mathmain3.1/src<org.apache.commons.math3.random{AbstractRandomGenerator.java[AbstractRandomGenerator~nextDouble;;0;java;5;method;f;f;f;f
427;363;11315;2;"";javageneric;388;;363;;math/doc/manual3.1/math/userguide/distribution.html;/html/body/div[4]/div/div/div[2]/p[2]/tt[1];0;0;8;2;cumulativeProbability;d;2;30;;f;55;using the cumulativeProbability methods.;"Using a distribution object, PDF and CDF probabilities are easily computed
          using the cumulativeProbability methods.  For a distribution
          X, and a domain value, x,
          cumulativeProbability computes P(X <= x)
          (i.e. the lower tail probability of X).";;0;;;27;61;27;59;26;12;25;7;11315;2;cumulativeProbability;org.apache.commons.math3.distribution.AbstractIntegerDistribution.cumulativeProbability;5;f;f;=mathmain3.1/src<org.apache.commons.math3.distribution{AbstractIntegerDistribution.java[AbstractIntegerDistribution~cumulativeProbability~I~I;;0;java;2;class;t;f;f;f
430;365;11315;2;"";javageneric;389;;365;;math/doc/manual3.1/math/userguide/distribution.html;/html/body/div[4]/div/div/div[2]/p[2]/tt[4];0;0;8;2;cumulativeProbability;d;2;30;;f;58;cumulativeProbability computes P(X <= x);"Using a distribution object, PDF and CDF probabilities are easily computed
          using the cumulativeProbability methods.  For a distribution
          X, and a domain value, x,
          cumulativeProbability computes P(X <= x)
          (i.e. the lower tail probability of X).";;0;;;27;61;27;59;26;12;25;7;11315;2;cumulativeProbability;org.apache.commons.math3.distribution.AbstractIntegerDistribution.cumulativeProbability;5;f;f;=mathmain3.1/src<org.apache.commons.math3.distribution{AbstractIntegerDistribution.java[AbstractIntegerDistribution~cumulativeProbability~I~I;;0;java;2;class;t;f;f;f
296;368;22858;0;"";javamethod;284;284;368;;math/doc/manual3.1/math/userguide/utilities.html;/html/body/div[4]/div/div/div[2]/p[1]/tt[2];0;0;8;2;addElementRolling(double);d;5;5;;f;58;addElementRolling(double) to basic list accessors.;"To maintain statistics based on a ""rolling"" window of values, a resizable 
    array implementation was developed and is provided for reuse in the 
    util package.  The core functionality provided is described in
    the documentation for the interface, 
    
    DoubleArray.  This interface adds one method,
    addElementRolling(double) to basic list accessors. 
    The addElementRolling method adds an element 
    (the actual parameter) to the end of the list and removes the first element
     in the list.";;0;;;27;53;27;51;26;11;25;7;22858;2;addElementRolling;org.apache.commons.math3.util.DoubleArray.addElementRolling;5;f;t;=mathmain3.1/src<org.apache.commons.math3.util{DoubleArray.java[DoubleArray~addElementRolling~D;;0;java;5;method;f;f;f;f
432;369;11318;1;"";javageneric;390;;369;;math/doc/manual3.1/math/userguide/distribution.html;/html/body/div[4]/div/div/div[2]/p[3]/tt[1];0;0;8;2;inverseCumulativeProbability;d;2;30;;f;61;inverseCumulativeProbability methods.;"The inverse PDF and CDF values are just as easily computed using the
          inverseCumulativeProbability methods.  For a distribution X,
          and a probability, p, inverseCumulativeProbability
          computes the domain value x, such that:";;0;;;27;61;27;59;26;12;25;7;11318;2;inverseCumulativeProbability;org.apache.commons.math3.distribution.AbstractIntegerDistribution.inverseCumulativeProbability;5;f;f;=mathmain3.1/src<org.apache.commons.math3.distribution{AbstractIntegerDistribution.java[AbstractIntegerDistribution~inverseCumulativeProbability~D;;0;java;2;class;t;f;f;f
433;370;22858;0;"";javageneric;391;391;370;;math/doc/manual3.1/math/userguide/utilities.html;/html/body/div[4]/div/div/div[2]/p[1]/tt[3];0;0;8;2;addElementRolling;d;2;30;;f;59;The addElementRolling method adds an element;"To maintain statistics based on a ""rolling"" window of values, a resizable 
    array implementation was developed and is provided for reuse in the 
    util package.  The core functionality provided is described in
    the documentation for the interface, 
    
    DoubleArray.  This interface adds one method,
    addElementRolling(double) to basic list accessors. 
    The addElementRolling method adds an element 
    (the actual parameter) to the end of the list and removes the first element
     in the list.";;0;;;27;53;27;51;26;11;25;7;22858;2;addElementRolling;org.apache.commons.math3.util.DoubleArray.addElementRolling;5;f;t;=mathmain3.1/src<org.apache.commons.math3.util{DoubleArray.java[DoubleArray~addElementRolling~D;;0;java;2;class;t;f;f;f
436;371;11318;1;"";javageneric;392;;371;;math/doc/manual3.1/math/userguide/distribution.html;/html/body/div[4]/div/div/div[2]/p[3]/tt[4];0;0;8;2;inverseCumulativeProbability;d;2;30;;f;64;and a probability, p, inverseCumulativeProbability;"The inverse PDF and CDF values are just as easily computed using the
          inverseCumulativeProbability methods.  For a distribution X,
          and a probability, p, inverseCumulativeProbability
          computes the domain value x, such that:";;0;;;27;61;27;59;26;12;25;7;11318;2;inverseCumulativeProbability;org.apache.commons.math3.distribution.AbstractIntegerDistribution.inverseCumulativeProbability;5;f;f;=mathmain3.1/src<org.apache.commons.math3.distribution{AbstractIntegerDistribution.java[AbstractIntegerDistribution~inverseCumulativeProbability~D;;0;java;2;class;t;f;f;f
438;377;23039;1;"";javageneric;393;;377;;math/doc/manual3.1/math/userguide/utilities.html;/html/body/div[4]/div/div/div[2]/p[2]/tt[2];0;0;8;2;addElementRolling;d;2;30;;f;62;When addElementRolling is invoked, the underlying;"The 
    ResizableDoubleArray class provides a configurable, array-backed
    implementation of the DoubleArray interface.
    When addElementRolling is invoked, the underlying
    array is expanded if necessary, the new element is added to the end of the
    array and the ""usable window"" of the array is moved forward, so that
    the first element is effectively discarded, what was the second becomes the
    first, and so on.  To efficiently manage storage, two maintenance
    operations need to be periodically performed -- orphaned elements at the
    beginning of the array need to be reclaimed and space for new elements at
    the end needs to be created.  Both of these operations are handled
    automatically, with frequency / effect driven by the configuration
    properties expansionMode, expansionFactor and
    contractionCriteria.  See 
    
    ResizableDoubleArray
    for details.";;0;;;27;53;27;51;26;11;25;7;23039;2;addElementRolling;org.apache.commons.math3.util.ResizableDoubleArray.addElementRolling;5;f;f;=mathmain3.1/src<org.apache.commons.math3.util{ResizableDoubleArray.java[ResizableDoubleArray~addElementRolling~D;;0;java;2;class;t;f;f;f
