"id";"code_reference_id";"code_element_id";"index";"rationale";"linker_name";"release_link_set_id";"first_link_id";"id";"url";"file_path";"xpath";"index_from";"index_to";"project_id";"project_release_id";"content";"source";"original_kind_hint_id";"kind_hint_id";"snippet_id";"declaration";"index";"sentence";"paragraph";"parent_reference_id";"child_index";"title_content_type_id";"title_object_id";"local_content_type_id";"local_object_id";"mid_content_type_id";"mid_object_id";"global_content_type_id";"global_object_id";"resource_content_type_id";"resource_object_id";"id";"codebase_id";"simple_name";"fqn";"kind_id";"deprecated";"abstract";"eclipse_handle";"attcontainer_id";"index";"parser";"id";"kind";"is_type";"is_file";"is_attribute";"is_value"
372;11;12140;0;;"javageneric";339;339;11;;"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[2]/p[1]/a[1]";0;0;8;2;"Fraction";"d";30;30;;"f";55;"Fraction and";"Fraction and 
          BigFraction provide fraction number type that forms the basis for
          the fraction functionality found in Commons-Math. The former one can be
          used for fractions whose numerators and denominators are small enough
          to fit in an int (taking care of intermediate values) while the second
          class should be used when there is a risk the numerator and denominator
          grow very large.";;0;;;27;9;27;1;26;2;25;7;12140;2;"Fraction";"org.apache.commons.math3.fraction.Fraction";2;"f";"f";"Err:512";;0;"java";30;"unknown";"f";"f";"f";"f"
1;14;12104;0;;"javaclass";1;1;14;;"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[2]/p[1]/a[2]";0;0;8;2;"BigFraction";"d";2;2;;"f";56;"BigFraction provide fraction number type that forms the basis for";"Fraction and 
          BigFraction provide fraction number type that forms the basis for
          the fraction functionality found in Commons-Math. The former one can be
          used for fractions whose numerators and denominators are small enough
          to fit in an int (taking care of intermediate values) while the second
          class should be used when there is a risk the numerator and denominator
          grow very large.";;0;;;27;9;27;1;26;2;25;7;12104;2;"BigFraction";"org.apache.commons.math3.fraction.BigFraction";2;"f";"f";"Err:512";;0;"java";2;"class";"t";"f";"f";"f"
373;17;12140;0;;"javageneric";340;340;17;;"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[2]/p[4]/tt[1]";0;0;8;2;"Fraction";"d";30;30;;"f";57;"The Fraction class provides many unary and binary";"The Fraction class provides many unary and binary
          fraction operations.  These operations provide the means to add,
          subtract, multiple and, divide fractions along with other functions similar to the real number functions found in
          java.math.BigDecimal:";;0;;;27;9;27;1;26;2;25;7;12140;2;"Fraction";"org.apache.commons.math3.fraction.Fraction";2;"f";"f";"Err:512";;0;"java";30;"unknown";"f";"f";"f";"f"
2;25;18862;0;"highest_frequency";"javapostclass";2;2;25;;"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[3]/a";0;0;8;2;"GoalType";"d";2;2;;"f";55;"GoalType which has only two values: MAXIMIZE and MINIMIZE.";"The type of goal, i.e. minimization or maximization, is defined by the enumerated
        
        GoalType which has only two values: MAXIMIZE and MINIMIZE.";;0;;;27;5;27;3;26;1;25;7;18862;2;"GoalType";"org.apache.commons.math3.optimization.GoalType";4;"t";"f";"Err:512";;0;"java";2;"class";"t";"f";"f";"f"
374;26;12140;0;;"javageneric";341;341;26;;"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[3]/p[1]/tt[1]";0;0;8;2;"Fraction";"d";30;30;;"f";60;"Fraction instances can be converted to and from strings";"Fraction instances can be converted to and from strings
          using the
          FractionFormat class. FractionFormat is a
          java.text.Format extension and, as such, is used like other
          formatting objects (e.g. java.text.SimpleDateFormat):";;0;;;27;13;27;1;26;2;25;7;12140;2;"Fraction";"org.apache.commons.math3.fraction.Fraction";2;"f";"f";"Err:512";;0;"java";30;"unknown";"f";"f";"f";"f"
293;29;18865;0;;"javafield";281;281;29;;"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[3]/tt[1]";0;0;8;2;"MAXIMIZE";"d";8;8;;"f";56;"GoalType which has only two values: MAXIMIZE and MINIMIZE.";"The type of goal, i.e. minimization or maximization, is defined by the enumerated
        
        GoalType which has only two values: MAXIMIZE and MINIMIZE.";;0;;;27;5;27;3;26;1;25;7;18865;2;"MAXIMIZE";"org.apache.commons.math3.optimization.GoalType.MAXIMIZE";9;"f";"f";"Err:512";;0;"java";8;"field";"f";"f";"f";"f"
4;30;12239;0;;"javaclass";3;3;30;;"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[3]/p[1]/a";0;0;8;2;"FractionFormat";"d";2;2;;"f";61;"FractionFormat class.";"Fraction instances can be converted to and from strings
          using the
          FractionFormat class. FractionFormat is a
          java.text.Format extension and, as such, is used like other
          formatting objects (e.g. java.text.SimpleDateFormat):";;0;;;27;13;27;1;26;2;25;7;12239;2;"FractionFormat";"org.apache.commons.math3.fraction.FractionFormat";2;"f";"f";"Err:512";;0;"java";2;"class";"t";"f";"f";"f"
5;31;19859;0;;"javaclass";4;4;31;;"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[1]/p[3]/tt";0;0;8;2;"RandomGenerator";"d";2;2;;"f";55;"a RandomGenerator instance as a parameter.";"Sections 2.2-2.6 below show how to use the commons math API to generate
     different kinds of random data.  The examples all use the default
     JDK-supplied PRNG.  PRNG pluggability is covered in 2.7.  The only 
     modification required to the examples to use alternative PRNGs is to
     replace the argumentless constructor calls with invocations including
     a RandomGenerator instance as a parameter.";;0;;;27;11;27;2;26;4;25;7;19859;2;"RandomGenerator";"org.apache.commons.math3.random.RandomGenerator";2;"f";"t";"Err:512";;0;"java";2;"class";"t";"f";"f";"f"
294;33;18867;0;;"javafield";282;282;33;;"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[3]/tt[2]";0;0;8;2;"MINIMIZE";"d";8;8;;"f";57;"GoalType which has only two values: MAXIMIZE and MINIMIZE.";"The type of goal, i.e. minimization or maximization, is defined by the enumerated
        
        GoalType which has only two values: MAXIMIZE and MINIMIZE.";;0;;;27;5;27;3;26;1;25;7;18867;2;"MINIMIZE";"org.apache.commons.math3.optimization.GoalType.MINIMIZE";9;"f";"f";"Err:512";;0;"java";8;"field";"f";"f";"f";"f"
6;34;20071;0;;"javaclass";5;5;34;;"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/p/a";0;0;8;2;"RandomData";"d";2;2;;"f";57;"RandomData interface defines methods for generating random sequences";"The 
    RandomData interface defines methods for generating random sequences
    of numbers. The API contracts of these methods use the following concepts:";;0;;;27;15;27;2;26;4;25;7;20071;2;"RandomData";"org.apache.commons.math3.random.RandomData";2;"t";"t";"Err:512";;0;"java";2;"class";"t";"f";"f";"f"
