"file_path";"xpath";"content";"sentence";"paragraph";"kind";"simple_name";"fqn"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[2]/p[1]/a[1]";"Fraction";"Fraction and";"Fraction and 
          BigFraction provide fraction number type that forms the basis for
          the fraction functionality found in Commons-Math. The former one can be
          used for fractions whose numerators and denominators are small enough
          to fit in an int (taking care of intermediate values) while the second
          class should be used when there is a risk the numerator and denominator
          grow very large.";"unknown";"Fraction";"org.apache.commons.math3.fraction.Fraction"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[2]/p[1]/a[2]";"BigFraction";"BigFraction provide fraction number type that forms the basis for";"Fraction and 
          BigFraction provide fraction number type that forms the basis for
          the fraction functionality found in Commons-Math. The former one can be
          used for fractions whose numerators and denominators are small enough
          to fit in an int (taking care of intermediate values) while the second
          class should be used when there is a risk the numerator and denominator
          grow very large.";"class";"BigFraction";"org.apache.commons.math3.fraction.BigFraction"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[2]/p[4]/tt[1]";"Fraction";"The Fraction class provides many unary and binary";"The Fraction class provides many unary and binary
          fraction operations.  These operations provide the means to add,
          subtract, multiple and, divide fractions along with other functions similar to the real number functions found in
          java.math.BigDecimal:";"unknown";"Fraction";"org.apache.commons.math3.fraction.Fraction"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[3]/a";"GoalType";"GoalType which has only two values: MAXIMIZE and MINIMIZE.";"The type of goal, i.e. minimization or maximization, is defined by the enumerated
        
        GoalType which has only two values: MAXIMIZE and MINIMIZE.";"class";"GoalType";"org.apache.commons.math3.optimization.GoalType"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[3]/p[1]/tt[1]";"Fraction";"Fraction instances can be converted to and from strings";"Fraction instances can be converted to and from strings
          using the
          FractionFormat class. FractionFormat is a
          java.text.Format extension and, as such, is used like other
          formatting objects (e.g. java.text.SimpleDateFormat):";"unknown";"Fraction";"org.apache.commons.math3.fraction.Fraction"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[3]/tt[1]";"MAXIMIZE";"GoalType which has only two values: MAXIMIZE and MINIMIZE.";"The type of goal, i.e. minimization or maximization, is defined by the enumerated
        
        GoalType which has only two values: MAXIMIZE and MINIMIZE.";"field";"MAXIMIZE";"org.apache.commons.math3.optimization.GoalType.MAXIMIZE"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[3]/p[1]/a";"FractionFormat";"FractionFormat class.";"Fraction instances can be converted to and from strings
          using the
          FractionFormat class. FractionFormat is a
          java.text.Format extension and, as such, is used like other
          formatting objects (e.g. java.text.SimpleDateFormat):";"class";"FractionFormat";"org.apache.commons.math3.fraction.FractionFormat"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[1]/p[3]/tt";"RandomGenerator";"a RandomGenerator instance as a parameter.";"Sections 2.2-2.6 below show how to use the commons math API to generate
     different kinds of random data.  The examples all use the default
     JDK-supplied PRNG.  PRNG pluggability is covered in 2.7.  The only 
     modification required to the examples to use alternative PRNGs is to
     replace the argumentless constructor calls with invocations including
     a RandomGenerator instance as a parameter.";"class";"RandomGenerator";"org.apache.commons.math3.random.RandomGenerator"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[3]/tt[2]";"MINIMIZE";"GoalType which has only two values: MAXIMIZE and MINIMIZE.";"The type of goal, i.e. minimization or maximization, is defined by the enumerated
        
        GoalType which has only two values: MAXIMIZE and MINIMIZE.";"field";"MINIMIZE";"org.apache.commons.math3.optimization.GoalType.MINIMIZE"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/p/a";"RandomData";"RandomData interface defines methods for generating random sequences";"The 
    RandomData interface defines methods for generating random sequences
    of numbers. The API contracts of these methods use the following concepts:";"class";"RandomData";"org.apache.commons.math3.random.RandomData"
